# File generated at 2026-01-29 23:29:25 CST
# Generated by StructureSelector
# http://lmme.qdio.ac.cn/StructureSelector/
# https://lmme.ac.cn/StructureSelector/    
# Contact: Yulong Li <liyulong12@mails.ucas.ac.cn>
# Citation: Li YL, Liu JX (2018) StructureSelector: A web based software to select and visualize the optimal number of 
# clusters using multiple methods.Molecular Ecology Resources, 18:176–177.
#
# Evanno method:
# Citation:
# Evanno G, Regnaut S, Goudet J (2005) Detecting the number of clusters of individuals using the software structure: 
# a simulation study. Molecular Ecology, 14: 2611-2620.
# K    Reps    Mean LnP(K)    Stdev LnP(K)    Ln'(K)    |Ln''(K)|    Delta K
1	10	-13982.49000	0.43830	NA	NA	NA
2	10	-13478.66000	0.62397	503.83000	280.20000	449.06307
3	10	-13255.03000	38.46667	223.63000	31.31000	0.81395
4	10	-13062.71000	23.73560	192.32000	32.04000	1.34987
5	10	-12902.43000	22.48946	160.28000	9.42000	0.41886
6	10	-12732.73000	11.11996	169.70000	0.14000	0.01259
7	10	-12563.17000	23.43578	169.56000	36.27000	1.54763
8	10	-12429.88000	6.68029	133.29000	242.10000	36.24096
9	10	-12538.69000	784.26191	-108.81000	273.80000	0.34912
10	9	-12373.70000	376.95122	164.99000	50.39000	0.13368
11	10	-12158.32000	23.81563	215.38000	159.80000	6.70988
12	10	-12102.74000	14.98482	55.58000	NA	NA
